id,pt_desc1,pt_desc2,pt_um,pt_prod_line,pt_vend
129015080,PTTJ154-V,SWT-C1,P,FT01,NULL
129015080-F,PTTJ154-V-F,,P,W001,NULL
129015080-WC,PTTJ154-V-WC,,P,W001,NULL
129015093,PTTJ159-V,SWT-C2,P,FT01,NULL
129015093-F,PTTJ159-V-F,,P,W001,NULL
129015093-WC,PTTJ159-V-WC,,P,W001,NULL
129015094,CHT150-V,SWT-A1,P,FT01,NULL
129015094-F,CHT150-V-F,,P,W001,NULL
129015094-WC,CHT150-V-WC,,P,W001,NULL
129015097,TB0210U-V,SWT-B3,P,FT01,NULL
129015097-F,TB0210U-V-F,,P,W001,NULL
129015097-WC,TB0210U-V-WC,,P,W001,NULL
129015098,TB0410T-V,SWT-B3,P,FT01,NULL
129015098-F,TB0410T-V-F,,P,W001,NULL
129015098-WC,TB0410T-V-WC,,P,W001,NULL
129015113,1AV4L51B7000N-V,SWT-C1E,P,FT01,NULL
129015113-F,1AV4L51B7000N-V-F,,P,W001,NULL
129015113-WC,1AV4L51B7000N-V-WC,,P,W001,NULL
129015114,68-CA78A-V,SWT-C1,P,FT01,NULL
129015114-F,68-CA78A-V-F,,P,W001,NULL
129015114-WC,68-CA78A-V-WC,,P,W001,NULL
129015115,81291504-V,SWT-B1,P,FT01,NULL
129015115-F,81291504-V-F,,P,W001,NULL
129015115-WC,81291504-V-WC,,P,W001,NULL
129015116,PTTJ182-V,SWT-C1,P,FT01,NULL
129015116-F,PTTJ182-V-F,,P,W001,NULL
129015116-WC,PTTJ182-V-WC,,P,W001,NULL
129015117,PTTX131-V,SWT-C2,P,FT01,NULL
129015117-F,PTTX131-V-F,,P,W001,NULL
129015117-WC,PTTX131-V-WC,,P,W001,NULL
129015118,PTTJ150-V,SWT-C2,P,FT01,NULL
129015118-F,PTTJ150-V-F,,P,W001,NULL
129015118-WC,PTTJ150-V-WC,,P,W001,NULL
129015121,CHT172-V,SWT-A1,P,FT01,NULL
129015121-F,CHT172-V-F,,P,W001,NULL
129015121-WC,CHT172-V-WC,,P,W001,NULL
129015123,81291544-V,SWT-B2,P,FT01,NULL
129015123-F,81291544-V-F,,P,W001,NULL
129015123-WC,81291544-V-WC,,P,W001,NULL
129015125,CHT174-V,SWT-A1,P,FT01,NULL
129015125-F,CHT174-V-F,,P,W001,NULL
129015125-WC,CHT174-V-WC,,P,W001,NULL
129015127,CHT175-V,SWT-A1,P,FT01,NULL
129015127-F,CHT175-V-F,,P,W001,NULL
129015127-WC,CHT175-V-WC,,P,W001,NULL
129015129,81190094-V,SWT-C1,P,FT01,NULL
129015129-F,81190094-V-F,,P,W001,NULL
129015129-WC,81190094-V-WC,,P,W001,NULL
129015131,PTTX189-V,SWT-A1,P,FT01,NULL
129015131-F,PTTX189-V-F,,P,W001,NULL
129015131-WC,PTTX189-V-WC,,P,W001,NULL
129015133,81291574-V,SWT-B2,P,FT01,NULL
129015133-F,81291574-V-F,,P,W001,NULL
129015133-WC,81291574-V-WC,,P,W001,NULL
129015135,CHT184-V,SWT-A1,P,FT01,NULL
129015135-F,CHT184-V-F,,P,W001,NULL
129015135-WC,CHT184-V-WC,,P,W001,NULL
129015136,81291584-V,SWT-B2,P,FT01,NULL
129015136-F,81291584-V-F,,P,W001,NULL
129015136-WC,81291584-V-WC,,P,W001,NULL
129015137,81291594-V,SWT-B2,P,FT01,NULL
129015137-F,81291594-V-F,,P,W001,NULL
129015137-WC,81291594-V-WC,,P,W001,NULL
129015139,CHT185-V,SWT-B1,P,FT01,NULL
129015139-F,CHT185-V-F,,P,W001,NULL
129015139-WC,CHT185-V-WC,,P,W001,NULL
129015140,81291604-V,SWT-B1,P,FT01,NULL
129015140-F,81291604-V-F,,P,W001,NULL
129015140-WC,81291604-V-WC,,P,W001,NULL
129015141,81291614-V,SWT-B1,P,FT01,NULL
129015141-F,81291614-V-F,,P,W001,NULL
129015141-WC,81291614-V-WC,,P,W001,NULL
129015156,PTTX194-V,SWT-A2,P,FT01,NULL
129015156-F,PTTX194-V-F,,P,W001,NULL
129015156-WC,PTTX194-V-WC,,P,W001,NULL
129015158,CHT191-V,SWT-A1,P,FT01,NULL
129015158-F,CHT191-V-F,,P,W001,NULL
129015158-WC,CHT191-V-WC,,P,W001,NULL
129015160,PTTJ204-V,SWT-B1,P,FT01,NULL
129015160-F,PTTJ204-V-F,,P,W001,NULL
129015160-WC,PTTJ204-V-WC,,P,W001,NULL
129015163,PTTX193-V,SWT-A1,P,FT01,NULL
129015163-F,PTTX193-V-F,,P,W001,NULL
129015163-WC,PTTX193-V-WC,,P,W001,NULL
129015171,PTTJ215-V,SWT-A2,P,FT01,NULL
129015171-F,PTTJ215-V-F,,P,W001,NULL
129015171-WC,PTTJ215-V-WC,,P,W001,NULL
129015173,PTTJ217-V,SWT-B2,P,FT01,NULL
129015173-F,PTTJ217-V-F,,P,W001,NULL
129015173-WC,PTTJ217-V-WC,,P,W001,NULL
129015175,PTTJ218-V,SWT-C1,P,FT01,NULL
129015175-F,PTTJ218-V-F,,P,W001,NULL
129015175-WC,PTTJ218-V-WC,,P,W001,NULL
129015177,PTTJ220-V,SWT-A3,P,FT01,NULL
129015177-F,PTTJ220-V-F,,P,W001,NULL
129015177-WC,PTTJ220-V-WC,,P,W001,NULL
129015179,PTTJ221-V,SWT-B1,P,FT01,NULL
129015179-F,PTTJ221-V-F,,P,W001,NULL
129015179-WC,PTTJ221-V-WC,,P,W001,NULL
129015183,PTTJ194-V,SWT-C2,P,FT01,NULL
129015183-F,PTTJ194-V-F,,P,W001,NULL
129015183-WC,PTTJ194-V-WC,,P,W001,NULL
129015184,PTTJ225-V,SWT-C1,P,FT01,NULL
129015184-F,PTTJ225-V-F,,P,W001,NULL
129015184-WC,PTTJ225-V-WC,,P,W001,NULL
129015186,PTTJ217-V-HFB,SWT-B2,P,FT01,NULL
129015186-F,PTTJ217-V-HFB-F,,P,W001,NULL
129015186-WC,PTTJ217-V-HFB-WC,,P,W001,NULL
129015187,PTTJ218-V-HFB,SWT-C1,P,FT01,NULL
129015187-F,PTTJ218-V-HFB-F,,P,W001,NULL
129015187-WC,PTTJ218-V-HFB-WC,,P,W001,NULL
129015188,CHT163-V-HFB,SWT-A1,P,FT01,NULL
129015188-F,CHT163-V-HFB-F,,P,W001,NULL
129015188-WC,CHT163-V-HFB-WC,,P,W001,NULL
129015192,PTTX152-V-HFB,SWT-B3,P,FT01,NULL
129015192-F,PTTX152-V-HFB-F,,P,W001,NULL
129015192-WC,PTTX152-V-HFB-WC,,P,W001,NULL
129015194,G4DYA0000426-V,SWT-A2,P,FT01,NULL
129015194-F,G4DYA0000426-V-F,,P,W001,NULL
129015194-WC,G4DYA0000426-V-WC,,P,W001,NULL
129015195,VT0154K-V,SWT-B1,P,FT01,NULL
129015195-F,VT0154K-V-F,,P,W001,NULL
129015195-WC,VT0154K-V-WC,,P,W001,NULL
129015196,LLEE0Z0ZB002-V,SWT-B1,P,FT01,NULL
129015196-F,LLEE0Z0ZB002-V-F,,P,W001,NULL
129015196-WC,LLEE0Z0ZB002-V-WC,,P,W001,NULL
129015197,LTT2PJ0ZB001-V,SWT-B1,P,FT01,NULL
129015197-F,LTT2PJ0ZB001-V-F,,P,W001,NULL
129015197-WC,LTT2PJ0ZB001-V-WC,,P,W001,NULL
129015198,LLEE0Z0ZB003-V,SWT-B1,P,FT01,NULL
129015198-F,LLEE0Z0ZB003-V-F,,P,W001,NULL
129015198-WC,LLEE0Z0ZB003-V-WC,,P,W001,NULL
129015199,1VTVT0432A-V,SWT-B1,P,FT01,NULL
129015199-F,1VTVT0432A-V-F,,P,W001,NULL
129015199-WC,1VTVT0432A-V-WC,,P,W001,NULL
129015200,1VTVT0333B-V,SWT-A1,P,FT01,NULL
129015200-F,1VTVT0333B-V-F,,P,W001,NULL
129015200-WC,1VTVT0333B-V-WC,,P,W001,NULL
129015201,LTT3PC0ZB004-V,SWT-B1,P,FT01,NULL
129015201-F,LTT3PC0ZB004-V-F,,P,W001,NULL
129015201-WC,LTT3PC0ZB004-V-WC,,P,W001,NULL
129015202,LTT3PJ0ZB009-V,SWT-B1,P,FT01,NULL
129015202-F,LTT3PJ0ZB009-V-F,,P,W001,NULL
129015202-WC,LTT3PJ0ZB009-V-WC,,P,W001,NULL
129135001,19-V006-A-V,SWT-B1,P,FT01,NULL
129135001-F,19-V006-A-V-F,,P,W001,NULL
129135001-WC,19-V006-A-V-WC,,P,W001,NULL
129195078,N-T01-753-Z11-V,SWT-B2,P,FT01,NULL
129195078-F,N-T01-753-Z11-V-F,,P,W001,NULL
129195078-WC,N-T01-753-Z11-V-WC,,P,W001,NULL
129195080,1AV4L51B6800N-V,SWT-A2,P,FT01,NULL
129195080-F,1AV4L51B6800N-V-F,,P,W001,NULL
129195080-WC,1AV4L51B6800N-V-WC,,P,W001,NULL
129195081,68-CA85A-V,SWT-C1,P,FT01,NULL
129195081-F,68-CA85A-V-F,,P,W001,NULL
129195081-WC,68-CA85A-V-WC,,P,W001,NULL
129195082,81291494-V,SWT-B2,P,FT01,NULL
129195082-F,81291494-V-F,,P,W001,NULL
129195082-WC,81291494-V-WC,,P,W001,NULL
129195083,81220214-V,SWT-B2,P,FT01,NULL
129195083-F,81220214-V-F,,P,W001,NULL
129195083-WC,81220214-V-WC,,P,W001,NULL
129195084,81220224-V,SWT-B2,P,FT01,NULL
129195084-F,81220224-V-F,,P,W001,NULL
129195084-WC,81220224-V-WC,,P,W001,NULL
129195086,N-T01-777-Z12-V,SWT-C2,P,FT01,NULL
129195086-F,N-T01-777-Z12-V-F,,P,W001,NULL
129195086-WC,N-T01-777-Z12-V-WC,,P,W001,NULL
129195087,81291354-V,SWT-B2,P,FT01,NULL
129195087-F,81291354-V-F,,P,W001,NULL
129195087-WC,81291354-V-WC,,P,W001,NULL
129195088,81190114-V,SWT-C2,P,FT01,NULL
129195088-F,81190114-V-F,,P,W001,NULL
129195088-WC,81190114-V-WC,,P,W001,NULL
129195089,81291564-V,SWT-C1,P,FT01,NULL
129195089-F,81291564-V-F,,P,W001,NULL
129195089-WC,81291564-V-WC,,P,W001,NULL
129195090,81220234-V,SWT-B2,P,FT01,NULL
129195090-F,81220234-V-F,,P,W001,NULL
129195090-WC,81220234-V-WC,,P,W001,NULL
129195091,81291644-V,SWT-C1,P,FT01,NULL
129195091-F,81291644-V-F,,P,W001,NULL
129195091-WC,81291644-V-WC,,P,W001,NULL
129195092,81140064-V,SWT-C1,P,FT01,NULL
129195092-F,81140064-V-F,,P,W001,NULL
129195092-WC,81140064-V-WC,,P,W001,NULL
129195093,81291654-V,SWT-A1,P,FT01,NULL
129195093-F,81291654-V-F,,P,W001,NULL
129195093-WC,81291654-V-WC,,P,W001,NULL
129205085,PTTX152-V,SWT-B2,P,FT01,NULL
129205085-F,PTTX152-V-F,,P,W001,NULL
129205085-WC,PTTX152-V-WC,,P,W001,NULL
129205088,RTRNWA304WJZZ-V,SWT-B2,P,FT01,NULL
129205088-F,RTRNWA304WJZZ-V-F,,P,W001,NULL
129205088-WC,RTRNWA304WJZZ-V-WC,,P,W001,NULL
129205089,RTRNWA188WJZZ-V,SWT-C1,P,FT01,NULL
129205089-F,RTRNWA188WJZZ-V-F,,P,W001,NULL
129205089-WC,RTRNWA188WJZZ-V-WC,,P,W001,NULL
129205090,RTRNZA102WJZZ-V,SWT-B1,P,FT01,NULL
129205090-F,RTRNZA102WJZZ-V-F,,P,W001,NULL
129205090-WC,RTRNZA102WJZZ-V-WC,,P,W001,NULL
129205091,N-T01-759-Z11-V,SWT-C3,P,FT01,NULL
129205091-F,N-T01-759-Z11-V-F,,P,W001,NULL
129205091-WC,N-T01-759-Z11-V-WC,,P,W001,NULL
129205092,N-T01-696-Z12-V,SWT-C2,P,FT01,NULL
129205092-F,N-T01-696-Z12-V-F,,P,W001,NULL
129205092-WC,N-T01-696-Z12-V-WC,,P,W001,NULL
129205093,EZC003C-V,SWT-B2,P,FT01,NULL
129205093-F,EZC003C-V-F,,P,W001,NULL
129205093-WC,EZC003C-V-WC,,P,W001,NULL
129205094,EZE005B-V,SWT-A1,P,FT01,NULL
129205094-F,EZE005B-V-F,,P,W001,NULL
129205094-WC,EZE005B-V-WC,,P,W001,NULL
129205095,N-T01-756-Z11-V,SWT-C1,P,FT01,NULL
129205095-F,N-T01-756-Z11-V-F,,P,W001,NULL
129205095-WC,N-T01-756-Z11-V-WC,,P,W001,NULL
129205096,N-T01-757-Z11-V,SWT-C1,P,FT01,NULL
129205096-F,N-T01-757-Z11-V-F,,P,W001,NULL
129205096-WC,N-T01-757-Z11-V-WC,,P,W001,NULL
129205097,C-L00-430-Z11-V,SWT-A1,P,FT01,NULL
129205097-F,C-L00-430-Z11-V-F,,P,W001,NULL
129205097-WC,C-L00-430-Z11-V-WC,,P,W001,NULL
129205098,C-L00-429-Z11-V,SWT-A1,P,FT01,NULL
129205098-F,C-L00-429-Z11-V-F,,P,W001,NULL
129205098-WC,C-L00-429-Z11-V-WC,,P,W001,NULL
129205099,N-T01-773-Z11-V,SWT-B2,P,FT01,NULL
129205099-F,N-T01-773-Z11-V-F,,P,W001,NULL
129205099-WC,N-T01-773-Z11-V-WC,,P,W001,NULL
129205100,N-T01-760-Z11-V,SWT-C1,P,FT01,NULL
129205100-F,N-T01-760-Z11-V-F,,P,W001,NULL
129205100-WC,N-T01-760-Z11-V-WC,,P,W001,NULL
129205101,RTRNZA133WJZZ-V,SWT-A1,P,FT01,NULL
129205101-F,RTRNZA133WJZZ-V-F,,P,W001,NULL
129205101-WC,RTRNZA133WJZZ-V-WC,,P,W001,NULL
129205102,RCILCA210WJZZ-V,SWT-A1,P,FT01,NULL
129205102-F,RCILCA210WJZZ-V-F,,P,W001,NULL
129205102-WC,RCILCA210WJZZ-V-WC,,P,W001,NULL
129205104,PTTX178-V,SWT-A2,P,FT01,NULL
129205104-F,PTTX178-V-F,,P,W001,NULL
